han	phien_am
辛巳唐咸通二年	Tân Tị, [Đường Hàm Thông nhị niên].
春正月唐帝詔𭛁邕𬋩及鄰道兵來救鄠擊南夷	Xuân, chính nguyệt, Đường đế chiếu phát Ung Quản cập lân đạo binh lai cứu Hộ, kích Nam di.
夏六月癸丑唐以盐州防禦使王寬為安南經畧使	Hạ, lục nguyệt, Quý Sửu, Đường dĩ Diêm Châu Phòng ngự sứ Vương Khoan vi An Nam Kinh lược sứ.
時鄠自武州𠬧集土軍攻羣蠻復取府城	Thời Hộ từ Vũ Châu thu tập thổ quân công quần Man, phục thủ phủ thành.
唐帝責其失守貶儋州司戶尋流峯州以王寬為都護經畧使	Đường đế trách kì thất thủ, biếm Đạm Châu tư hộ, tầm lưu Phong Châu, dĩ Vương Khoan vi Đô hộ Kinh lược sứ.
鄠之初至也殺蠻酋杜澄故其宗黨因誘導羣蠻𨺻州	Hộ chi sơ chí dã, sát Man tù Đỗ Trừng, cố kì tông đảng nhân dụ đạo quần Man thao châu.
壬午唐咸通三年	Nhâm Ngọ, [Đường Hàm Thông tam niên].
春二月南詔復入寇	Xuân, nhị nguyệt, Nam Chiếu phục nhập khấu.
王寬數遣使吿急	Vương Khoan số khiến sứ cáo cấp.
唐帝以前湖南觀察使蔡襲大之仍𭛁許滑徐汴荆㐮潭鄂等道兵合三萬人授襲以禦之	Đường đế dĩ tiền Hồ Nam quan sát sứ Sái Tập đại chi, nhưng phát Hứa, Hoạt, Từ, Biện, Kinh, Tương, Đàm, Ngạc đẳng đạo binh hợp tam vạn nhân, thụ Tập dĩ ngự chi.
兵勢既盛蠻遂引去	Binh thế ký thịnh, Man toại dẫn khứ.
夏五月嶺南節度蔡京以襲將諸道兵來禦蛮恐其立功忌之因奏南蛮遁边徼無虞武夫邀功妄請戍兵虚費餽運盖以荒陬路遠難於襨驗故得肆其姦詐	Hạ, ngũ nguyệt, Lĩnh Nam Tiết độ Sái Kinh dĩ Tập tướng chư đạo binh lai ngự Man, khủng kì lập công, kị chi nhân tấu: "Nam Man viễn độn, biên khiếu vô ? Vũ phu yêu công, vọng thỉnh thú binh, hư phí quỹ vận, cái dĩ hoang tưu lộ viễn, nan ư phức nghiệm, cố đắc tứ kì gian trá.
請罷戍兵各遠本道	Thỉnh bãi thú binh, các viễn bản đạo".
唐帝從之	Đường đế tòng chi.
襲累奏羣蛮伺隲九不可無備乞留戍兵五千人	Tập luỵ tấu: "Quần Man tứ chất nhật cửu, bất khả vô bị, khất lưu thú binh ngũ thiên nhân".
不聽襲以蛮寇必至兵食皆闕智力	Bất thính, Tập dĩ Man khấu tất chí, binh thực giai khuyết, trí lực..
两作十必死状中中書	lưỡng cùng, tác "Thập tất tử trạng" trung Trung thư.
時相信京言終不之省	Thời tướng tín Kinh ngôn, chung bất chi tỉnh.
秋七月蔡京在任為政苛慘闔境怨之為軍士所逐貶崖州司戶不肯之官勑賜死	Thu, thất nguyệt, Sái Kinh tại nhiệm vi chính hà thảm, hạp cảnh oán chi, vi quân sĩ sở trục, biếm Nhai Châu Tư hộ, bất khẳng chi quan sắc tứ tử.
冬十月南詔羣蛮五萬人來寇襲吿急	Đông, thập nguyệt, Nam Chiếu quần Man ngũ vạn nhân lai khấu, Tập cáo cấp.
唐帝勑𭛁荆南湖南两道兵二千桂𬋩義征子弟因其應慕從軍名之也	Đường đế sắc phát Kinh Nam, Hồ Nam lưỡng đạo binh nhị thiên, Quế Quản nghĩa chinh tử đệ [Nhân kì ứng mộ tòng quân danh chi dã].
三千詣邕州受鄭愚節制求救之	tam thiên nghệ Ung Châu, thụ Trịnh Ngu tiết chế cầu cứu chi.
十二月襲又求益兵勑山南東道𭛁弩手千人赴之	Thập nhị nguyệt, Tập hựu cầu ích binh, sắc Sơn Nam đông đạo phát nỗ thủ thiên nhân phó chi.
時南詔已圍府救兵不得至	Thời Nam Chiếu dĩ vi phủ, cứu binh bất đắc chí.
襲但城固守而已	Tập đản anh thành cố thủ nhi dĩ. 𱙎
縈也癸未唐咸通四年	[Anh oanh dã] Quý Mùi, [Đường Hàm Thông tứ niên].
春正月庚午南詔𨺻府城蔡襲左右	Xuân, chính nguyệt, Canh Ngọ, Nam Chiếu thao phủ thành, Sái Tập tả hữu..
皆尽	giai tận.
襲徒步力戰身集十矢欲趣監軍船船已離岸遂溺海死闔家七十人	Tập đồ bộ, lực chiến, thân tập thập thỉ, dục thú giám quân thuyền, thuyền dĩ li ngạn, toại nịch hải tử, hạp gia thất thập nhân.
幙僚樊綽先携襲印符渡江得免	Mạc Liêu Phàn Xước tiên huề Tập ấn phù độ giang đắc miễn.
荆南江西鄂岳㐮等州將士四百餘人走至城東水際	Kinh Nam, Giang Tây, Ngạc, Nhạc, Tương đẳng châu tướng sĩ tứ bách dư nhân tẩu chí thành đông thuỷ tế.
荆南侯元惟德等謂眾曰吾軰無船入水則死不若還入城與蛮人鬪以一人易二蛮亦有利	Kinh Nam Ngu hầu Nguyên Duy Đức đẳng vị chúng viết: "Ngô bối vô thuyền, nhập thuỷ tắc tử, bất nhược hoàn nhập thành, dữ Man nhân đấu, dĩ nhất nhân dịch nhị Man diệc hữu lợi".
遂還向城入東羅門	Toại hoàn hướng thành, nhập Đông La môn.
安南羅城東門也	[An Nam La Thành đông môn dã].
蛮人不為備惟德等縱兵殺蛮二千餘人	Man nhân bất vi bị, Duy Đức đẳng túng binh sát Man nhị thiên dư nhân.
迨夜蛮將楊思縉始自子城城内小城也出救惟德等皆死	Đãi dạ, Man tướng Dương Tư Tấn thuỷ tự tử thành [thành nội tiểu thành dã] xuất cứu, Duy Đức đẳng giai tử.
南詔两𨺻交州所殺虜且十五萬人	Nam Chiếu lưỡng thao Giao Châu, sở sát lỗ thả thập ngũ vạn nhân.
留兵二萬使思縉據	Lưu binh nhị vạn, sử Tư Tấn cứ..
我交州城	ngã Giao Châu thành.
溪洞夷獠無遠近皆降之	Khê động Di Lão vô viễn cận giai hàng chi.
南詔以其属段酋遷領我府節度使	Nam Chiếu dĩ kì thuộc Đoàn Tù Thiên lĩnh ngã phủ Tiết độ sứ.
唐帝詔召還諸道援兵分保嶺南西道	Đường đế chiếu triệu hoàn chư đạo viện binh phân bảo Lĩnh Nam Tây đạo.
六月廢安南都護府置行交州於海門鎮以右監門衛將軍宋戎行交州刺史以武義節度使康承訓兼嶺南及諸軍行營	Lục nguyệt, phế An Nam Đô hộ phủ, trí Hành Giao Châu ư Hải Môn trấn, dĩ Hữu Giám Môn vệ tướng quân Tống Nhung hành Giao Châu thứ sử, dĩ Vũ Nghĩa Tiết độ sứ Khang Thừa Huấn kiêm Lĩnh Nam cập chư quân hành doanh.
秋七月復置安南都護府於行交州以宋戎為經畧使𭛁山東兵萬人以鎮之	Thu, thất nguyệ, phục trí An Nam Đô hộ phủ ư Hành Giao Châu, dĩ Tống Nhung vi Kinh lược sứ, phát Sơn Đông binh vạn nhân dĩ trấn chi.
時唐諸道兵来援者屯嶺南不進虚費餽運潤州人陳磻石上言請造千斛舟自福建運来泛海不一月至廣州	Thời Đường chư đạo binh lai viện giả, đồn Lĩnh Nam bất tiến, hư phí, quỹ vận, Nhuận Châu nhân Trần Bàn Thạch thượng ngôn thỉnh tạo thiên hộc đại chu, tự Phúc Kiến vận lai phiếm hải, bất nhất nguyệt chí Quảng Châu.
從之軍食以足	Tòng chi, quân thực dĩ túc.
然	Nhiên..
有司以和隺為名奪商人舟委其貨於岸側舟人海或遇風濤沉溺有司囚繋網史舟人使償其米人頗苦之	hữu tư dĩ hoà hạc vi danh sáo thương nhân chu, uỷ kì hoá ư ngạn trắc, chu nhân hải hoặc ngộ phong đào trầm nịch, hữu tư tù hệ võng sử chu nhân sử thường kì mễ, nhân pha khổ chi.
甲申唐咸通五年	Giáp Thân, [Đường Hàm Thông ngũ niên].
唐帝以總管經畧使張茵兼勾當交州事益海門鎮兵满二萬五千人令茵進取府城	Đường đế dĩ Tổng quản Kinh lược sứ Trương Nhân kiêm cấu đương Giao Châu sự, ích Hải Môn trấn binh, mãn nhị vạn ngũ thiên nhân, lệnh Nhân tiến thủ phủ thành.
秋七月茵逗逼不敢進	Thu, thất nguyệt, Nhân đậu bực bất cảm tiến.
夏侯孜薦驍衛將軍髙駢代之乃以駢為都護總管經畧招討使茵所將兵悉以授之	Hạ Hầu Tư tiến Kiêu Vệ tướng quân Cao Biền đại chi, nãi dĩ Biền vi Đô Hộ Tổng quản Kinh lược chiêu thảo sứ, Nhân sở tướng binh tất dĩ thụ chi.
駢小字千里南平郡王崇文之孫也世典禁兵	Biền tiểu tự Thiên Lí, Nam Bình quận vương Sùng Văn chi tôn dã, thế điển cấm binh.
頗折節為學好談論古今軍中之人更相	Pha triết tiết vi học, hiếu đàm luận cổ kim, quân trung chi nhân cánh tương..
稱譽	xưng dự.
少事朱淑明	Thiếu sự Chu Thục Minh.
有二鵰並飛引弓欲射且祝之曰我長且貴富中之一𤼵遂疊中	Hữu nhị điêu tịnh phi, dẫn cung dục xạ, thả chúc chi viết: "Ngã trưởng thả quý phú trúng chi", nhất phát toại điệp trúng.
眾大驚因號落鵰侍御史	Chúng đại kinh, nhân hiệu "Lạc điêu thị ngự sử".
累遷右神策都候	Luỹ thiên Hữu thần sách đô ngu hầu.
党項叛駢領禁兵萬餘人戍長武屢有功遷秦州防衛使復有功	Đảng Hạng phản, Biền lĩnh cấm binh vạn dư nhân thú Trường Vũ, lũ hữu công, thiên Tần Châu Phòng vệ sử, phục hữu công.
時南詔占據我地故委駢來代之	Thời Nam Chiếu chiếm cứ ngã địa, cố uỷ Biền lai đại chi.
乙酉唐咸通六年	Ất Dậu, [Đường Hàm Thông lục niên].
秋七月駢治兵於海門未進	Thu, thất nguyệt, Biền trị binh ư Hải Môn vị tiến.
監軍李維周惡駢欲去之屢𧼈駢使進軍	Giám quân Lí Duy Chu ố Biền dục khứ chi, lũ thú Biền sử tiến quân.
駢以五千餘人先濟約維周𤼵兵應援	Biền dĩ ngũ thiên dư nhân tiên tế, ước Duy Chu phát binh ứng viện.
駢既行維周擁餘眾不𤼵	Biền ký hành, Duy Chu ủng dư chúng bất phát.
九月駢至南定峯州蠻眾近五萬方穫田禾駢掩	Cửu nguyệt, Biền chí Nam Định, Phong Châu, Man chúng cận ngũ vạn phương hoạch điền hoà, Biền yểm..
擊大破之斬張詮等𠬧其所穫以食軍	kích đại phá chi, trảm Trương Thuyên đẳng, thu kì sở hoạch dĩ thực quân.
丙戌唐通七年	Bính Tuất, [Đường Hàm Thông thất niên].
夏四月南詔除段酋遷為遣襲善闡善闡南詔别都也在交州西北節度使張緝助酋遷攻交州以范昵為我府都統趙諾眉為浮邪都統	Hạ, tứ nguyệt, Nam Chiếu trừ Đoàn Tù Thiên vi Khiển Tập Thiện Xiển [Thiện xiển Nam Chiếu biệt đô dã tại Giao Châu Tây Bắc], Tiết độ sứ, Trương Tập trợ Tù Thiên công Giao Châu, dĩ Phạm Nật Ta vi ngã phủ Đô thống, Triệu Nặc Mi vi Phù Da đô thống.
唐監陳讀曰陣勑使韋仲宰將七千餘人至峯州	Đường Giám trận Độc viết Trận] lai sử Vi Trọng Tể tương thất thiên dư nhân chí Phong Châu.
駢得以益其兵進擊南詔屢破之	Biền đắc dĩ ích kì binh, tiến kích Nam Chiếu, lũ phá chi.
㨗奏至海門維周皆匿之	Tiệp tấu chí Hải Môn, Duy Chu giai nặc chi.
數月無聲聞唐帝恠之以問維周	Sổ nguyệt vô thanh văn, Đường đế quái chi, dĩ vấn Duy Chu.
維周奏駢駐軍峯州玩敵不進	Duy Chu tấu: Biền trú quân Phong Châu, ngoạn địch bất tiến.
唐帝怒以右武衛將軍王晏權代駢召駢詣闕欲重貶之	Đường đế nộ, dĩ Hữu Vũ vệ tướng quân Vương Án Quyền đại Biền, triệu Biền nghệ khuyết, dục trọng biếm chi.
是月駢大破南詔蠻殺獲甚	Thị nguyệt Biền đại phá Nam Chiếu Man, sát hoạch thậm..
眾	chúng.
南詔引餘眾奔入州城固守	Nam Chiếu dẫn dư chúng bôn nhập Châu thành cố thủ.
冬十月駢圍州城十餘日蠻人困蹙甚	Đông, thập nguyệt, Biền vi Châu thành thập dư nhật, Man nhân khốn xúc thậm.
城且下會得王晏權牒已與維周将大軍𤼵海門	Thành thả hạ, hội đắc Vương Án Quyền điệp dĩ dữ Duy Chu tương đại quân phát Hải Môn.
駢即以軍事授仲宰而與麾下百餘人北㱕	Biền tức dĩ quân sự thụ Trọng Tể, nhi dữ huy hạ bách dư nhân Bắc quy.
先是仲宰遣小使王慧賛駢遣小校曾衮共賫㨗書㱕唐至海中望見旌旗東來問逰船云此新經畧使與監軍來也	Tiên thị, Trọng Tể khiển tiểu sứ Vương Tuệ Tán, Biền khiển tiểu hiệu Tăng Cổn cộng tê tiệp thư quy Đường, chí hải trung, vọng kiến tinh kì Đông lai, vấn du thuyền, vân thử tân Kinh lược sứ dữ Giám quân lai dã.
二人謀曰維周必奪表留我	Nhị nhân mưu viết: "Duy Chu tất đoạt biểu lưu ngã".
乃匿於島聞維周過即馳詣京師	Nãi nặc ư đảo, văn Duy Chu quá tức trì nghệ kinh sư.
唐帝得奏大喜即加駢撿校工部尚書使駢來攻蠻人	Đường đế đắc tấu đại hỉ, tức gia Biền Kiểm hiệu Công bộ thượng thư, sử Biền lai công Man nhân.
駢至海門而還	Biền chí Hải Môn nhi hoàn.
晏權闇懦動輙禀維周之命	Án Quyền ám nhu, động triếp bẩm Duy Chu chi mệnh.
維	Duỵ.
周㐫貪諸將不為之用遂解重圍蠻人遁去者太半	Chu hung tham, chư tướng bất vị chi dụng, toại giải trùng vi Man nhân thuẫn khứ giả thái bán.
駢至復督勵將士攻城扳之殺酋遷及士蠻為南詔向道者朱古道斬首三萬餘級	Biền chí phục đốc lệ tướng sĩ, công thành ban chi, sát Tù Thiên cập sĩ Man vi Nam Chiếu hướng đạo giả Chu Cổ Đạo, trảm thủ tam vạn dư cấp.
南遁去駢又破土蠻之附南詔者二洞誅其酋長	Nam Chiếu thuẫn khứ, Biền hựu phá thổ man chi phò Nam Chiếu giả nhị động, tru kì tù trưởng.
土蠻率眾㱕附者萬七千人	Thổ man suất chúng quy phò giả vạn thất thiên nhân.
十一月壬子唐帝詔交州邕州西州諸路軍各保疆土勿復進攻	Thập nhất nguyệt, Nhâm Tí, Đường đế chiếu Giao Châu, Ung Châu, Tây Châu chư lộ quân các bảo cương thổ, vật phục tiến công.
置靜海軍於交州以駢為節度使	Trí Tĩnh Hải quân ư Giao Châu, dĩ Biền vi Tiết độ sứ.
自此至宋朝安為靜海軍節鎮	[Tự thử chí Tống triều, An vi Tĩnh Hải quân tiết trấn].
南自李琢侵擾而羣蠻焉患殆將十年至是始平	Nam Tự Lí Trác xâm nhiễu, nhi quần Man yên hoạn đãi tương thập niên, chí thị thuỷ bình.
駢㨿我府稱王築羅城周回一千九百八十二丈零五尺城身髙	Biền cứ ngã phủ xưng vương, trúc La Thành chu hồi nhất thiên cửu bách bát thập nhị trượng linh ngũ xích, thành thân cao..
二丈六尺脚闊二丈五尺四靣女墙髙五丈五寸望敵樓五十五所甕門六所水渠三所踏道三十四所	nhị trượng lục xích, cước khoát nhị trượng ngũ xích, tứ diện nữ tường cao ngũ trượng ngũ thốn, vọng địch lâu ngũ thập ngũ sở, úng môn lục sở, thuỷ cừ tam sở, đạp đạo tam thập tứ sở.
又築堤子周回二千一百二十五丈八尺髙一丈五尺脚闊二丈及造屋四十餘萬間	Hựu trúc đê tử chu hồi nhị thiên nhất bách nhị thập ngũ trượng bát xích, cao nhất trượng ngũ quái; cước khoát nhị trượng, cập tạo ốc tứ thập dư vạn gian.
黎文休曰一李琢之貪暴𦤶十數年蠻寇之患况甚虐於李琢者乎	Lê Văn Hưu viết: Nhất Lí Trác chi tham bạo, trí thập sổ niên Man khấu chi hoạn, huống thậm ngược ư Lí Trác giả hồ.
一臯駢之督属斬數萬賊眾之強况賢於髙駢者乎	Nhất Cao Biền chi đốc thuộc, trảm sổ vạn tặc chúng chi cường, huống hiền ư Cao Biền giả hồ.
故琢不䏻自保而駢據城稱王善為國者當謹擇焉	Cố Trác bất năng tự bảo, nhi Biền cứ thành xưng Vương, thiện vi quốc giả, đương cẩn trạch yên.
丁亥唐通八年	Đinh Hợi, [Đường Hàm Thông bát niên].
春正月駢巡視至邕廣二州海路多	Xuân, chính nguyệt, Biền tuần thị chí Ung, Quảng nhị châu, hải lộ đa..
潜石襨船漕運不通遂命攝長使林諷湖南將軍余存古等領本部兵并水手一千餘人徃徃𮢶之論曰天道助順神功扶直	tiềm thạch phúc thuyền, tảo vận bất thông, toại mệnh Nhiếp trưởng sử Lâm Phúng, Hồ Nam tướng quân Dư Tồn Cổ đẳng, lĩnh bản bộ binh tịnh thuỷ thủ nhất thiên dư nhân vãng vãng tạc chi, luận viết: "Thiên đạo trợ thuận, thần công phù trực.
今𮢶海派用濟生民苟不徇私何難之有前時都護師不至持法不堅負約營私人皆怠隋	Kim tạc hải phái, dụng tế sinh dân, câu bất tuân tư hà nan chi hữu? Tiền thời Đô hộ khao sư bất chí, trì pháp bất kiên, phụ ước doanh tư, nhân giai đãi tuỳ.
今我則不然秪要濟王事耳	Kim ngã tắc bất nhiên, chỉ yếu tế vương sự nhĩ".
言訖諷等拜命而徃	Ngôn hất, Phúng đẳng bái mệnh nhi vãng.
复四月五日興功䟽𮢶逾月之間將欲開達但中間两處俱巨石繚亘數丈𮢶下刅卷施斧柯折役者終日相顧人功殆幾中止	Hạ, tứ nguyệt, ngũ nhật, hưng công sơ tạc, du nguyệt chi gian, tương dục khai đạt, đãn trung gian lưỡng xứ cụ cự thạch, liêu cắng số trượng, tạc hạ ban quyển, thi phủ kha triết, dịch giả chung nhật tương cố, nhân công đãi cơ trung chỉ.
五月二十六日當晝忽狂雲怒風暴作窺林若暝	Ngũ nguyệt, nhị thập lục nhật, đương trú hốt cuồng vân, nộ phong bạo tác, khuy lâm nhược minh,..
視掌如瞽俄而聶天雷震於大石之所數百聲然開霽	thị chưởng như cổ, nga nhi nhiếp thiên lôi chấn ư đại thạch chi sở số bách thanh, mat-chu nhiên khai tễ.
役者駿奔視之石已摧碎矣	Dịch giả tuấn bôn thị chi, thạch dĩ thôi toái hĩ.
其西又値巨石立两處眾工亦不䏻措手	Kì Tây hựu trị cự thạch lập lưỡng xử, chúng công diệc bất năng thố thủ.
六月二十一日復大震如初巨石一時碎裂	Lục nguyệt, nhị thập nhất nhật, phục đại chấn như sơ, cự thạch nhất thời toái liệt.
港乃成因名天威港	Cảng nãi thành, nhân danh Thiên Uy cảng.
史臣吳士連曰髙駢𮢶港之役何其異耶盖所合理故得天之助也	Sử thần Ngô Sĩ Liên viết: Cao Biền tạc cảng chi dịch, hà kì dị gia? Cái sở hợp lí, cố đắc thiên chi trợ dã.
天者理也	Thiên giả lí dã.
地道有險夷理之常也	Địa đạo hữu hiểm di lí chi thường dã.
人力有濟險亦理之常也	Nhân lực hữu tế hiểm, diệc lí chi thường dã.
苟險而不䏻濟天何假於人哉禹之治水不合乎理天何由成地何由平也其效至於洛龜呈祥非天之	Câu hiểm nhi bất năng tế, thiên hà giá ư nhân tai? Vũ chi trị thuỷ, câu bất hợp hồ lí, thiên hà do thành? Địa hà do bình dã? Kì hiệu chí ư Lạc quy trình tường, phi thiên chi..
助乎觀駢之言曰今𮢶海派用濟生靈苟不徇私何難之有	trợ hồ? Quan Biền chi ngôn viết: "Kim tạc hải phái, dụng tế sinh linh, câu bất tuân tư hà nan chi hữu".
誠𭛁於言言𡸈不順乎孚信所感通乎金石况於天乎天所助者順也	Thành phát ư ngôn, ngôn khởi bất thuận hồ? Phù tín sở cảm thông hồ kim thạch, huống ư thiên hồ? Thiên sở trợ giả thuận dã.
易曰履信思乎順自天祐之吉無不利	Dịch viết: "Lí tín tư hồ thuận, tự thiên hựu chi, cát vô bất lợi".
雷震巨石以助之何足為袏也	Lôi chấn cự thạch dĩ trợ chi, hà túc vi tả dã.
戊子唐通九年	Mậu Tí, [Đường Hàm Thông cửu niên].
秋七月唐帝以髙駢為右金吾衛大將軍一云檢校尚書僕射至唐僖宗乾符二年乙未徒西川節度使	Thu, thất nguyệt, Đường đế dĩ Cao Biền vi Hữu kim ngô vệ đại tướng quân [Nhất vân kiểm hiệu thượng thư bộc xạ], chí Đường Hi Tông Càn Phù nhị niên Ất Mùi, đồ Tây Xuyên Tiết độ sứ.
駢以從孫髙鄩曾為先鋒千矢石為士卒倡表薦代鎮我土	Biền dĩ tòng tôn Cao Tầm tằng vi tiên phong, thiên cốt thỉ thạch, vi sĩ tốt xướng biểu tiến đại trấn ngã thổ.
唐帝從之	Đường đế tòng chi.
在鎮共十三年駢	Tại trấn cộng thập tam niên; Biền..
自咸通丙戌至甲午鄩自乾符乙未至戊戌	tự Hàm Thông, Bính Tuất chí Giáp Ngọ, Tầm tự Càn Phù Ất Mùi chí Mậu Tuất.
庚子唐僖宗儼廣明元年	Canh Tí, [Đường Hi Tông Nghiễm Quảng Minh nguyên niên].
春三月我府軍亂	Xuân, tam nguyệt, ngã phủ quân loạn.
節度使曾衮出城走	Tiết độ sứ Tăng Cổn xuất thành tẩu.
衮代駢撫字有聲人呼曰曾尚書嘗撰交州記一篇	[Cổn đại Biền, phủ tự hữu thanh, nhân hô viết Tăng Thượng thư; thường soạn Giao Châu ký nhất thiên].
唐諸道兵成邕𬋩者徃㱕自歸	Đường chư đạo binh thành Ung Quản giả vãng vãng tự quy.
乙丑唐哀帝祝天祐二年	Ất Sửu, [Đường Ai Đế Chúc, Thiên Hựu nhị niên].
春二月戊戌唐朱全忠以交州節度使同平章事朱全昱𢥮樸無䏻自請罷之	Xuân, nhị nguyệt, Mậu Tuất, Đường Chu Toàn Trung dĩ Giao Châu Tiết độ sứ đồng bình chương sự Chu Toàn Dực tràng phác vô năng, tự thỉnh bãi chi.
全昱全忠之兄也	Toàn Dực Toàn Trung chi huynh dã.
右属于隋唐自癸亥至丙寅共三百四年	Hữu thuộc vu Tuỳ Đường, tự Quý Hợi chí Bính Dần, cộng tam bách tứ niên.
南北分爭紀	Nam Bắc phân tranh KỶ..
