han	phien_am
陛下已九州爲家生民皆爲臣妾夷狄之地何足以爲一日之間而煩汗馬之勞乎詩云王猷充塞徐方既來	Bệ hạ dĩ cửu châu vi gia, sinh dân giai vi thần thiếp; di địch chi địa, hà túc dĩ vi nhất nhật chi nhàn, nhi phiền hãn mã chi lao hồ? Thi vân: "Vương du sung tái, Từ phương ký lai".
言王道甚大而遠方𢙇之也	Ngôn vương đạo thậm đại nhi viễn phương hoài chi dã.
臣安窃恐将吏之以十萬之師爲一	Thần An thiết khủng, tướng lại chi dĩ thập vạn chi sư vi nhất..
使之任也	sứ chi nhiệm dã".
是時漢兵位踰嶺閩越王𭛁兵拒險	Thị thời, Hán binh vị du lĩnh, Mân Việt Vương phát binh cự hiểm.
其弟餘善乃𭁈宗族謀曰王以擅𭛁兵擊南越不請故漢𭛁兵來誅	Kì đệ Dư Thiện nãi dữ tông tộc mưu viết: "Vương dĩ thiện phát binh kích Nam Việt bất thỉnh, cố Hán phát binh lai tru.
漢兵眾強即幸而勝之後來益多終滅國而止不如殺王以謝漢願罷其兵	Hán binh chúng cường, tức hạnh nhi thắng chi, hậu lai ích đa chung diệt quốc nhi chỉ, bất như sát Vương dĩ tạ Hán, nguyện bãi kì binh".
遂殺王郢使使奉其頭𦤶王恢	Toại sát Vương Sính, sử sứ phụng kì đầu trí Vương Khôi.
恢乃以便宜按兵吿韓安國而使使奉其頭馳吿	Khôi nãi dĩ tiện nghi án binh, cáo Hàn An Quốc, nhi sử sứ phụng kì đầu trì cáo.
漢帝使荘助來諭意于王	Hán đế sử Trang Trợ lai dụ ý vu Vương.
王頓首曰天子爲寡人興兵誅閩越雖死無以報德	Vương đồn thủ viết: "Thiên tử vị quả nhân hưng binh tru Mân Việt, tuy tử vô dĩ báo đức".
遣太子齊入質	Khiển thái tử Anh Tề nhập chất.
因謂助曰國新被寇使者行矣寡人方日夜整装入見天子	Nhân vị Trợ viết: "Quốc tân bị khấu, sứ giả hành hĩ, quả nhân phương nhật dạ chỉnh trang nhập kiến thiên tử".
助遠群臣咸諫于	Trợ viễn, quần thần hàm gián vu..
王曰漢兵誅郢欲以警動我越	Vương viết: "Hán binh tru Sính dục dĩ cảnh động ngã Việt.
且先帝有言事漢期無失禮要之不可以設好語入見不得復亡國之勢也	Thả, tiên đế hữu ngôn sự Hán kì vô thất lễ yêu chi, bất khả dĩ thiết hảo ngữ nhập kiến, bất đắc phục quy, vong quốc chi thế dã".
王乃稱疾竟不入見	Vương nãi xưng tật cánh bất nhập kiến.
釋義歐泄歐𭁈嘔同泄弋制反亦吐也臨存以尊適甲曰臨恤問曰存不頓一㦸頓𭁈鈍通罷勌勌𭁈倦同厮輿厮折薪者輿主駕者皆賎役之人一日之間間音閉	[Thích nghĩa: Âu tiết âu dữ âu đồng tiết, dặc chế phản, diệc thổ dã, lâm tồn dĩ tôn thích giáp viết lâm, tuất vấn viết tồn bất đồn nhất kích đồn dữ độn thông; bãi quyên quyên dữ quyện đồng; tê dư tê triếp tân giả, dư chủ giá giả, giai tiện dịch chi nhân nhất nhật chi gian, gian âm bế.
説好語説讀曰悅	Thuyết hảo ngữ thuyết độc viết duyệt].
丁未三年漢元光元年	Đinh Mùi tam niên [Hán Nguyên Quang nguyên niên].
秋七月晦日食	Thu, thất nguyệt, hối, nhật thực.
甲寅十年漢元朔二年	Giáp Dần, thập niên [Hán Nguyên Sóc nhị niên].
春三月晦日食	Xuân, tam nguyệt, hối, nhật thực.
乙卯十一年漢元朔三年	Ất Mão, thập nhất niên [Hán Nguyên Sóc tam niên].
王病甚太子齊㱕自漢	Vương bệnh thậm, thái tử Anh Tề quy tự Hán.
丙辰十二年漢元朔四年	Bính Thìn, thập nhị niên [Hán Nguyên Sóc tứ niên].
王薨謚曰文王	Vương hoăng, thuỵ viết Văn Vương.
子齊立	Tử Anh Tề lập.
史臣吳士連曰文王交鄰有道漢朝之𦤶爲興兵助擊其讐又罷納諫稱疾不朝于漢遵守家法貽厥孫謀可謂無沗厥祖矣	Sử thần Ngô Sĩ Liên viết: Văn Vương giao lân hữu đạo, Hán triều nghĩa chi, trí vi hưng binh trợ kích kì cừu; hựu bãi nạp gián, xưng tật bất triều vu Hán, tuân thủ gia pháp di quyết tôn mưu, khả vị vô thiểm quyết tổ hĩ.
明王	Minh Vương.
在位十二年	Tại vị thập nhị niên.
王不謹夫婦之端釀國家之乱無足稱者	[Vương bất cẩn phu phụ chi đoan, nhưỡng quốc gia chi loạn, vô túc xưng giả].
成諱齊文王長子也	thành Huý Anh Tề, Văn Vương trưởng tử dã.
丁巳元年漢元朔五年	Đinh Tị, nguyên niên [Hán Nguyên Sóc ngũ niên].
以吕嘉爲太傅	Dĩ Lữ Gia vi Thái phó.
己未三年漢元狩元年	Kỉ Mùi, tam niên [Hán Nguyên Thú nguyên niên].
夏五月晦日食	Hạ, ngũ nguyệt, hối, nhật thực.
壬戌六年漢元狩四年	Nhâm Tuất, lục niên [Hán Nguyên Thú tứ niên].
春有星孛于東北	Xuân, hữu tinh bột vu Đông Bắc.
夏長星出	Hạ, trường tinh xuất..
西方	Tây phương.
乙丑九年漢元𣇄元年	Ất Sửu, cửu niên [Hán Nguyên Đỉnh nguyên niên].
戊辰十二年漢元𣇄四年	Mậu Thìn, thập nhị niên [Hán Nguyên Đỉnh tứ niên].
初王爲世子入質於漢在長安娶邯郸樛氏女生子興	Sơ, Vương vi Thế tử, nhập chất ư Hán tại Trường An, thú Hàm Đan Cù thị nữ, sinh tử Hưng.
及即位乃藏其先帝璽上書於漢請立樛氏爲后興爲世子	Cập tức vị, nãi tàng kì tiên đế tỉ, thượng thư ư Hán thỉnh lập Cù thị vi hậu, Hưng vi Thế tử.
漢数使使者諷諭王入朝王惧入見要用漢法比内諸侯王固稱疾不從乃遣子次公入質	Hán số sử sứ giả phúng dụ vương nhập triều, vương cụ nhập kiến yêu dụng Hán pháp tỉ nội chư hầu, vương cố xưng tật bất tòng, nãi khiển tử Thứ công nhập chất.
是歳王薨謚曰明王	Thị tuế vương hoăng, thuỵ viết Minh Vương.
子興立	Tử Hưng lập.
哀王	Ai Vương.
在位一年	Tại vị nhất niên.
母后宣治強臣專國弱年庸主何以堪之	[Mẫu hậu tuyên trị, cường thần chuyên quốc, nhược niên dung chủ, hà dĩ kham chi].
諱興明王次子也	Huý Hưng, Minh Vương thứ tử dã.
是年王既即位尊母樛氏為太后	Thị niên, Vương ký tức vị, tôn mẫu Cù thị vi Thái hậu. �
太后未家明王時嘗與覇陵人安國少季通	Sơ, Thái hậu vị giá Minh Vương, thời thường dữ Bá Lăng nhân An Quốc Thiếu Quý thông.
安國姓少季名	[An Quốc tính Thiếu Quý danh].
是歳漢使安國少季來諭王及太后以入朝比内諸侯復今辨士諫大夫終軍等宣其辝勇士魏臣等輔其决衞尉路博德將兵屯桂陽待使者	Thị tuế Hán sử An Quốc Thiếu Quý lai dụ Vương cập Thái Hậu dĩ nhập triều, tỉ nội chư hầu, phục kim biện sĩ Gián đại phu Chung Quân đẳng tuyên kì từ, dũng sĩ Nguỵ Thần đẳng phụ kì quyết, vệ uý Lộ Bác Đức tương binh đồn Quế Dương đãi sứ giả.
時王年少樛后乃漢人少季至復與私通焉	Thời Vương niên thiếu, Cù hậu nãi Hán nhân, Thiếu Quý chí phục dữ tư thông yên.
國人知之多不附太后	Quốc nhân tri chi đa bất phụ Thái hậu.
太后恐乱欲倚漢威勸王及群臣求内附	Thái hậu khủng loạn mat-chu, dục ỷ Hán uy, sổ khuyến Vương cập quần thần cầu nội phụ.
即因漢使者上書請比内諸侯三歳一朝艅邊關	Tức nhân Hán sứ giả thượng thư, thỉnh tỉ nội chư hầu, tam tuế nhất triều dư biên quan.
漢帝許之賜王與丞相吕嘉銀印及内史中尉太傅印餘得自置	Hán đế hứa chi, tứ Vương dữ thừa tướng Lữ Gia ngân ấn, cập nội sử, trung uý, thái phó ấn, dư đắc tự trí.
除其故劓刑用漢法比内諸侯者	Trừ kì cố ve-chu nghị hình, dụng Hán pháp tỉ nội chư hầu giả.
皆鎮撫之	Giai trấn phủ chi.
己巳元年漢元𣇄五年	Kỉ Tị, nguyên niên [Hán Nguyên Đỉnh ngũ niên].
王及太后飭治行装重齊爲入朝具	Vương cập Thái hậu sức trị hành trang trọng tề vi nhập triều cụ.
時宰相吕嘉年長長一作老歴相三朝宗族仕官為長吏者七十餘人男皆尚公主女皆嫁王之子弟宗室及蒼梧秦王有連其居國中甚得眾心愈於王	Thời Tể tướng Lữ Gia niên trưởng [trưởng nhất tác lão], lịch tướng tam triều, tông tộc sĩ quan vi trưởng lại giả thất thập dư nhân, nam giai thượng công chúa, nữ giai giá Vương chi tử đệ tông thất, cập Thương Ngô Tần Vương hữu liên kì cư, quốc trung thậm đắc chúng tâm dũ ư Vương.
上書数諫王王弗聽因有叛心数稱疾不見	Thượng thư sổ gián Vương, Vương phất thính, nhân hữu phản tâm, sổ xưng tật bất kiến..
漢使者	Hán sứ giả.
使者皆注意嘉勢位能誅	Sứ giả giai chú ý Gia, thế vị năng tru.
王及太后亦恐嘉等先事𭛁欲令漢使者權謀誅嘉等	Vương cập Thái hậu diệc khủng Gia đẳng tiên sự phát, dục lệnh Hán sứ giả quyền mưu tru Gia đẳng.
乃置酒請使者飲大臣皆侍坐飲	Nãi trí tửu thỉnh sứ giả ẩm, đại thần giai thị toạ ẩm.
嘉弟為將啐居宫外	Gia đệ vi tướng, tương tốt cư cung ngoại.
酒行太后謂嘉曰南越内属國之利也而相君若不便者何也以激怒使者	Tửu hành, Thái hậu vị Gia viết: "Nam Việt nội thuộc, quốc chi lợi dã, nhi tướng quân nhược bất tiện giả hà dã?" dĩ khích nộ sứ giả.
使者狐疑相杖杖持也遂莫敢𭛁	Sứ giả hồ nghi, tương trượng [trượng trì dã] toại mạc cảm phát.
嘉見耳目非是即起而出	Gia kiến nhĩ mục phi thị, tức khởi nhi xuất.
太后怒欲鏦撞也嘉以矛王止之	Thái hậu nộ, dục tung [tràng dã] Gia dĩ mâu, Vương chỉ chi.
嘉遂出介分也其弟兵就舍稱疾不肯見王及使者陰與大臣謀作乱	Gia toại xuất giới [phân dã] kì đệ binh tựu xá, xưng tật bất khẳng kiến Vương cập sứ giả, âm dữ đại thần mưu tác loạn.
王素無意誅嘉嘉知之以故数月不𭛁	Vương tố vô ý tru Gia, Gia tri chi, dĩ cố sổ nguyệt bất phát.
太后欲獨誅嘉又力不能	Thái hậu dục độc tru Gia hựu lực bất năng.
漢	Hán..
帝聞嘉不聽命王及太后孤弱不能制使者怯無决又以為王及太后已内附獨吕嘉為乱不足以興兵欲使荘參以二千往使	đế văn Gia bất thính mệnh, Vương cập Thái hậu cô nhược bất năng chế, sứ giả khiếp vô quyết, hựu dĩ vi Vương cập Thái hậu dĩ nội phụ, độc Lữ Gia vi loạn, bất túc dĩ hưng binh, dục sử Trang Sâm dĩ nhị thiên vãng sứ.
荘參曰以好徃数人足矣以武徃二千人無以為也	Trang Sâm viết: "Dĩ hiếu vãng, sổ nhân túc hĩ; dĩ vũ vãng, nhị thiên nhân vô dĩ vi dã".
往不可	Vãng bất khả.
漢帝乃罷參	Hán đế nãi bãi Sâm.
故濟北將韓千秋奮曰以一區區之越又有王太后為内應獨丞相吕嘉為害願得勇士三百人必斬嘉以報	Cố Tế Bắc tướng Hàn Thiên Thu phấn viết: "Dĩ nhất khu khu chi Việt, hựu hữu Vương thái hậu vi nội ứng, độc thừa tướng Lữ Gia vi hại, nguyện đắc dũng sĩ tam bách nhân, tất trảm Gia dĩ báo".
於是漢使千秋與樛太后弟樛樂將二千人往入越境	Ư thị Hán sử Thiên Thu dữ Cù Thái hậu đệ Cù Lạc tương nhị thiên nhân vãng nhập Việt cảnh.
吕嘉遂下令國中曰王年少太后本漢人也又與漢使者乱專欲内附盡持先王	Lữ Gia toại hạ lệnh quốc trung viết: "Vương niên thiếu, Thái hậu bản Hán nhân dã, hựu dữ Hán sứ giả loạn, chuyên dục nội phụ, tận trì tiên vương..
寳噐入献于漢以自媚多從仁乃相從之人也行至長安虜賣以為僮僕自取一時之利無顧趙氏社稷為萬世計慮之意	bảo khí nhập hiến vu Hán dĩ tự mị, đa tòng nhân [nãi tương tòng chi nhân dã] hành chí Trường An lỗ mại dĩ vi đồng bộc, tự thú nhất thời chi lợi, vô cố Triệu thị xã tắc vi vạn thế kế lự chi ý".
乃與其弗將卒攻王遂弑王與太后盡殺漢使者遣人吿蒼梧秦王及諸郡邑立明王長子術陽侯建德為王	Nãi dữ kì phất tương tốt công vương, toại thích Vương dữ Thái hậu, tận sát Hán sứ giả, khiển nhân cáo Thương Ngô Tần Vương cập chư quận ấp, lập Minh Vương trưởng tử Thuật Dương hầu Kiến Đức vi vương.
王已遇害謚曰哀王	Vương dĩ ngộ hại, thuỵ viết Ai Vương.
使臣吳士連曰哀王之禍雖出於吕嘉而實兆于樛后	Sử thần Ngô Sĩ Liên viết: Ai Vương chi hoạ, tuy xuất ư Lữ Gia nhi thực triệu vu Cù Hậu.
夫女之色能覆人家國也多端其兆不可逆覩	Phù nữ chi sắc, năng phúc nhân gia quốc dã đa đoan, kì triệu bất khả nghịch đổ.
故先王必制大婚之禮必謹夫婦之端必别嫌明微蓽正位内外必閉出入之防必僃	Cố tiên vương tất chế đại hôn chi lễ, tất cẩn phu phụ chi đoan, tất biệt hiềm minh vi, tất chính vị nội ngoại, tất bế xuất nhập chi phòng, tất bị..
三從之訓夫然後禍無由至	tam tòng chi huấn, phu nhiên hậu hoạ vô do chí.
哀王年少不能防閉其母吕嘉當國内外之事寕不預知大國賔至接之有禮居之有次供億有数舘伴有人何至與母后通也母后深居宫中不預外事有事而出魚軒翟弗媚嬙陪從何至與使客通也嘉等與其撲燎原之火於方熾之中孰若杜禍乱之機於未兆之日之為愈也故曰為人君而不知春秋之義必冡首惡之名為人臣而不知春秋之義必𨺻篡弑之罪明王哀王吕嘉之謂也	Ai Vương niên thiếu bất năng phòng bế kì mẫu, Lữ Gia đương quốc, nội ngoại chi sự ninh bất dự tri? Đại quốc tân chí, tiếp chi hữu lễ, cư chi hữu thứ, cung ức hữu số, quán bạn hữu nhân, hà chí dữ mẫu hậu thông dã? Mẫu hậu thâm cư cung trung bất dự ngoại sự, hữu sự nhi xuất, ngư hiên địch phất mị tường bồi tòng, hà chí dữ sứ khách thông dã? Gia đẳng dữ kì phác liệu nguyên chi hoả ư phương sí chi trung thục, nhược đỗ hoạ loạn chi cơ ư vị triệu chi nhật chi vi dũ dã? Cố viết: Vi nhân quân nhi bất tri Xuân Thu chi nghĩa, tất chủng thủ ác chi danh; vi nhân thần nhi bất tri Xuân Thu chi nghĩa, tất thao thoán thích chi tội, Minh Vương, Ai Vương, Lữ Gia chi vị dã.
術陽王	Thuật Dương Vương.
在位一年趙氏社稷樛后傾之本既先援末從而顛	Tại vị nhất niên [Triệu thị xã tắc, Cù hậu khuynh chi, bản ký tiên viện, mạt tòng nhi điên].
諱建德明王長子越妻之子也	Huý Kiến Đức, Minh Vương trưởng tử, Việt thê chi tử dã.
時冬十一月宰相吕嘉既立王而韓千秋兵入境破数小邑	Thời, đông thập nhất nguyệt, Tể tướng Lữ Gia ký lập Vương, nhi Hàn Thiên Thu binh nhập cảnh phá sổ tiểu ấp.
嘉乃開直道給食未至番禺四十里出兵擊千秋等滅之	Gia nãi khai trực đạo cấp thực, vị chí Phiên Ngung tứ thập lí, xuất binh kích Thiên Thu đẳng diệt chi.
使人	Sử nhân.
函封漢使節置塞上即大庾嶺名好為謾辝欺詐之語也以謝罪𭛁兵守要害處	hàm phong Hán sứ tiết trí Tái Thượng [tức Đại Dũ lĩnh danh] hảo vi mạn từ [khi trá chi ngữ dã] dĩ tạ tội, phát binh thủ yếu hại xứ.
漢帝聞之遣伏波將軍路博德出桂陽楼船將軍杨僕出豫章戈船將軍嚴名嚴失其姓史出零陵下瀨將軍甲	Hán đế văn chi, khiển Phục Ba tướng quân Lộ Bác Đức xuất Quế Dương, Lâu thuyền tướng quân Dương Bộc xuất Dự Chương, Qua thuyền tướng quân Nghiêm [Danh Nghiêm thất kì tính] sử xuất Linh Lăng, Hạ lại tướng quân Giáp..
名甲史失其姓下蒼梧馳義侯貴名貴史𭛁失其姓夜郎兵下牂牁江咸會番禺	[Danh Giáp, sử thất kì tính] hạ Thương Ngô, Trì Nghĩa hầu Quý [danh Quý sử phát thất kì tính] Dạ Lang binh hạ Tường Kha giang, hàm hội Phiên Ngung.
庚午元年漢元𣇄六年	Canh Ngọ, nguyên niên [Hán Nguyên Đỉnh lục niên].
冬漢楊僕精兵九千先陷尋陿破石門嘉積石於江曰石門得我粟船因維其船以数萬人待伏波將軍路博德	Đông, Hán Dương Bộc tinh binh cửu thiên tiên hãm Tầm Hiệp, phá Thạch Môn [Gia tích thạch ư giang viết Thạch Môn] đắc ngã túc thuyền, nhân duy kì thuyền, dĩ số vạn nhân đãi Phục Ba tướng quân Lộ Bác Đức.
博德曰因道遠後期與楼船會至番禺	Bác Đức viết nhân đạo viễn hậu, kì dữ Lâu thuyền hội chí Phiên Ngung.
時有千餘人遂俱進	Thời hữu thiên dư nhân toại cụ tiến.
楊僕前至番禺	Dương Bộc tiền chí Phiên Ngung.
王及嘉皆守城	Vương cập Gia giai thủ thành.
楊僕自擇便居東南靣路博德居西北靣	Dương Bộc tự trạch tiện, cư Đông Nam diện; Lộ Bác Đức cư Tây Bắc diện.
會暮僕攻敗之縱火燒城	Hội mộ Bộc công bại chi, túng hoả thiêu thành.
博德不知兵多少乃為營遣使招降	Bác Đức bất tri binh đa thiểu nãi vi doanh, khiển sứ chiêu hàng.
皆賜以印綬復縱令相招	Giai tứ dĩ ấn thụ phục tung lệnh tương chiêu.
楼船	Lâu thuyền..
將軍楊僕力攻反驅入路博德營軍	tướng quân Dương Bộc lực công, phản khu nhập Lộ Bác Đức dinh quân.
黎比也旦城中皆降	lê [tỉ dã] đán thành trung giai hàng.
王及嘉與数百人夜走入海	Vương cập Gia dữ sổ bách nhân, dạ tẩu nhập hải.
博德又問降者知嘉所在遣人追之	Bác Đức hựu vấn hàng giả tri Gia sở tại, khiển nhân truy chi.
校尉司馬蘇弘得王越郎都一作孫都得嘉	Hiệu uý tư mã Tô Hoằng đắc Vương, Việt lang Đô Kê [nhất tác Tôn Đô] đắc Gia.
時下瀨戈船將軍兵及馳義侯所𭛁夜郎兵未下而我越已為路博德楊僕所平矣	Thời Hạ lại Qua Thuyền tướng quân binh, cập Trì Nghĩa hầu sở phát Dạ Lang binh vị hạ, nhi ngã Việt dĩ vi Lộ Bác Đức, Dương Bộc sở bình hĩ.
時我越令三使者牽牛三百頭携酒一千鐘持交趾九真日南三郡戶籍迎降路博德因拜三使者為三郡太守治	[Thời ngã Việt lệnh tam sứ giả khiên ngưu tam bách đầu, huề tửu nhất thiên chung, trì Giao Chỉ, Cửu Chân, Nhật Nam tam quận hộ tịch nghênh hàng. Lộ Bác Đức nhân bái tam sứ giả vi tam quận Thái thú trị.
民如故	dân như cố].
遂以其地為南海秦故郡今明廣東是也蒼梧唐曰益州古甌貉我越之地鬱林秦桂林郡漢武更名合浦秦象郡廉州之属郡交趾九真日南秦象郡珠崖儋耳並在大海中	Toại dĩ kì địa vi Nam Hải [Tần cố quận kim Minh Quảng Đông thị dã], Thương Ngô [Đường viết Ích Châu cổ Âu Lạc ngã Việt chi địa], Uất Lâm [Tần Quế Lâm quận Hán Vũ cánh danh], Hợp Phố Tần Tượng quận Liêm Châu chi thuộc quận], Giao Chỉ, Cửu Chân, Nhật Nam [Tần Tượng quận], Châu Nhai đam Nhĩ [tịnh tại đại hải trung].
九郡	Cửu quận.
自是漢始	Tự thị Hán thuỷ..
置制史太守	trí chế sử thái thú.
黎文休曰吕嘉之諫哀王及樛太后使毋求為漢諸侯毋餘邊關可謂䏻重越矣	Lê Văn Hưu viết: Lữ Gia chi gián Ai Vương cập Cù thái hậu sử vô cầu vi Hán chư hầu, vô dư biên quan, khả vị năng trọng Việt hĩ.
然諫不從當盡率群臣於朝廷靣諫帝漢帝越之利害庶幾哀王太后有所感悟	Nhiên gián bất tòng, nghĩa đương tận suất quần thần ư triều đình, diện gián đế Hán đế Việt chi lợi hại, thứ cơ Ai Vương thái hậu hữu sở cảm ngộ.
若猶不從則當引𠧨避位不爾則用伊霍故事别選明王子一人代位使哀王得如太甲昌邑保全性命則進退不失	Nhược do bất tòng, tắc đương dẫn cữu tị vị bất nhĩ tắc dụng Y Hoắc cố sự, biệt tuyển Minh Vương tử nhất nhân đại vị, sử Ai Vương đắc như Thái Giáp, Xương Ấp bảo toàn tính mệnh, tắc tiến thoái bất thất.
今乃弑其君以逞私怨又不能以子守國使越分裂而入臣漢人則吕嘉之罪有不容誅者矣	Kim nãi thích kì quân dĩ sính tư oán, hựu bất năng dĩ tử thủ quốc, sử Việt phân liệt, nhi nhập thần Hán nhân, tắc Lữ Gia chi tội hữu bất dung tru giả hĩ.
史臣吳士連曰五嶺之於我越者是為險塞國之門戶猶鄭之虎牢虢之下陽也	Sử thần Ngô Sĩ Liên viết: Ngũ Lĩnh chi ư ngã Việt giả, thị vi hiểm tái quốc chi môn, hộ do Trịnh chi Hổ Lao, Quắc chi Hạ Dương dã.
帝越者固宜設險守國不可使之失也	Đế Việt giả cố nghi thiết hiểm thủ quốc, bất khả sử chi thất dã.
趙氏一失其守國亡綂絶土宇瓜分	Triệu thị nhất thất kì thủ quốc vong thống tuyệt, thổ vũ qua phân.
我越又分南北之勢成矣	Ngã Việt hựu phân, Nam Bắc chi thế thành hĩ.
後有帝王之興地險已失復之必難	Hậu hữu Đế Vương chi hưng, địa hiểm dĩ thất, phục chi tất nan.
故徵女王雖能略定嶺南之地不能㨿得嶺險旋底於亡	Cố Trưng Nữ Vương tuy năng lược định Lĩnh Nam chi địa, bất năng cứ đắc Lĩnh hiểm toàn để ư vong.
士王雖復全盛然猶為當時諸侯未正位號没後又失之而丁黎李陳止有交州以南之地不復趙武之舊勢使然也	Sĩ Vương tuy phục toàn thịnh, nhiên do vi đương thời chư hầu vị chính vị hiệu, một hậu hựu thất chi, nhi Đinh Lê Lí Trần chỉ hữu Giao Châu dĩ Nam chi địa, bất phục Triệu Vũ chi cựu, thế sử nhiên dã.
